epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.20373,1.68111,3.15139,2.19878,0.00334,1,0.10389,0.03409,1.59504,3.14604,2.58332,3.334e-05,3.334e-05,3.334e-05
2,2.06166,1.71148,3.16086,2.21917,0.00333,1,0.19485,0.07308,1.45296,3.11809,2.38667,8.32675e-05,8.32675e-05,8.32675e-05
3,2.98197,1.33709,2.97455,1.86383,0.00337,1,0.37112,0.16286,1.24257,3.0912,2.16491,0.000133096,0.000133096,0.000133096
4,4.01471,1.29017,2.77779,1.76893,0.00355,1,0.49814,0.19036,1.50093,3.0904,2.34231,0.000182825,0.000182825,0.000182825
5,4.92433,1.24029,2.45969,1.74302,0.00352,1,0.47736,0.19138,1.25128,2.89472,2.12561,0.000232456,0.000232456,0.000232456
6,5.83122,1.24742,2.38903,1.67879,0.00344,1,0.57544,0.2571,1.29104,2.86215,2.07413,0.000281987,0.000281987,0.000281987
7,6.74932,1.10362,2.12653,1.57361,0.00331,0.975,0.42399,0.17999,1.48223,2.82587,2.49977,0.00033142,0.00033142,0.00033142
8,7.92988,1.06246,2.05216,1.55709,0.00336,1,0.53143,0.2687,1.34891,2.61317,2.30538,0.000380753,0.000380753,0.000380753
9,8.84913,1.06236,1.93071,1.52892,0.00338,1,0.51309,0.26108,1.43426,2.60463,2.3688,0.000429987,0.000429987,0.000429987
10,9.76545,1.13326,1.84203,1.57237,0.06503,0.925,0.46182,0.1955,1.94778,2.698,2.78719,0.000479123,0.000479123,0.000479123
11,10.6782,1.07519,1.78014,1.52928,0.00547,0.775,0.24311,0.09456,2.88838,2.85913,3.69598,0.000528159,0.000528159,0.000528159
12,11.609,1.09936,1.8554,1.57154,0.60301,0.11344,0.2433,0.08357,2.30787,2.6988,3.14452,0.000577096,0.000577096,0.000577096
13,12.5381,1.01634,1.59784,1.49254,0.22171,0.6,0.38452,0.1417,1.94139,2.71899,2.95268,0.000625934,0.000625934,0.000625934
14,13.6865,1.02778,1.63028,1.48704,0.76216,0.16554,0.47844,0.18228,2.00194,2.6121,3.16032,0.000674674,0.000674674,0.000674674
15,14.6076,1.04773,1.51478,1.52392,0.70194,0.05,0.35608,0.10062,2.61986,2.80081,3.43797,0.000723314,0.000723314,0.000723314
16,15.5141,1.18388,1.56414,1.59349,0.00049,0.15,0.01167,0.00234,4.47605,3.50292,5.15331,0.000771855,0.000771855,0.000771855
17,16.4199,1.15764,1.62449,1.58176,0.00083,0.25,0.01002,0.00289,4.14227,3.39802,4.59115,0.000820297,0.000820297,0.000820297
18,17.3289,1.12135,1.63534,1.54451,0.00227,0.675,0.0783,0.02324,3.31434,3.29718,3.6595,0.000868641,0.000868641,0.000868641
19,18.492,1.11667,1.59375,1.52945,0.00243,0.725,0.06691,0.02475,3.1201,3.24584,3.57985,0.000916885,0.000916885,0.000916885
20,19.4066,1.08632,1.56349,1.58281,0.6443,0.14227,0.24153,0.06192,2.89626,2.9364,3.35796,0.00096503,0.00096503,0.00096503
21,20.2983,1.15146,1.60344,1.55201,0.67221,0.15074,0.36087,0.12232,2.27622,2.73839,3.36157,0.00101308,0.00101308,0.00101308
22,21.1839,1.10517,1.61821,1.58433,0.36574,0.475,0.39129,0.16322,1.88407,2.27182,3.71201,0.00106102,0.00106102,0.00106102
23,22.0792,1.1987,1.57464,1.61523,0.01954,0.025,0.0046,0.0008,4.06884,3.53839,5.60732,0.00110887,0.00110887,0.00110887
24,22.9524,1.27069,1.60859,1.65784,0.04691,0.225,0.03499,0.00829,2.76841,3.3915,3.64171,0.00115662,0.00115662,0.00115662
25,24.0658,1.17618,1.5527,1.60708,0.29629,0.35,0.13947,0.0525,2.30215,3.58192,3.35014,0.00120427,0.00120427,0.00120427
26,24.9404,1.11055,1.43562,1.5571,0.11055,0.275,0.06652,0.01568,2.45647,3.30972,3.55322,0.00125182,0.00125182,0.00125182
27,25.8187,1.17518,1.52328,1.58812,0.44356,0.27277,0.29138,0.06975,2.42982,2.96586,4.66933,0.00129927,0.00129927,0.00129927
28,26.6882,1.19041,1.5859,1.62839,0.13631,0.325,0.14807,0.05146,2.05538,3.17529,3.44916,0.00134663,0.00134663,0.00134663
29,27.5572,1.15021,1.46247,1.5827,0.09183,0.175,0.04624,0.01275,2.4325,3.6818,3.65608,0.00139388,0.00139388,0.00139388
30,28.6913,1.14293,1.44149,1.55794,0.0925,0.175,0.05006,0.01377,2.54987,4.98975,4.03951,0.00144103,0.00144103,0.00144103
31,29.5557,1.18066,1.35512,1.62207,0.01758,0.1,0.00914,0.00211,3.6652,9.71331,5.97827,0.00148809,0.00148809,0.00148809
32,30.4293,1.22776,1.51279,1.65014,0.00152,0.05,0.00048,0.00012,4.45165,54.4524,8.4327,0.00153505,0.00153505,0.00153505
33,31.2916,1.31044,1.5535,1.72851,0.001,0.175,0.00329,0.0005,3.85001,25.5157,6.11337,0.00158191,0.00158191,0.00158191
34,32.159,1.16275,1.46315,1.5545,0.03216,0.05,0.00262,0.00027,5.36314,36.1285,8.03512,0.00161254,0.00161254,0.00161254
35,33.0178,1.20049,1.4461,1.66666,0.64673,0.325,0.16805,0.04213,2.79296,7.45758,5.01812,0.00161089,0.00161089,0.00161089
36,34.1302,1.2417,1.36348,1.68371,0.5817,0.2,0.07038,0.01896,2.40491,6.31003,3.87619,0.00160924,0.00160924,0.00160924
37,34.9949,1.21578,1.39239,1.63544,0.11061,0.075,0.04433,0.0074,3.23929,4.73628,4.7085,0.00160759,0.00160759,0.00160759
38,35.862,1.21394,1.34625,1.62226,0.08293,0.075,0.04127,0.01172,2.81211,3.70882,3.72872,0.00160594,0.00160594,0.00160594
39,36.7225,1.29258,1.42438,1.70834,0.07706,0.1,0.02754,0.01016,2.3961,3.62271,3.40408,0.00160429,0.00160429,0.00160429
40,37.5876,1.31681,1.44054,1.68876,0.02275,0.15,0.01956,0.00509,2.69058,3.81196,3.40244,0.00160264,0.00160264,0.00160264
41,38.7035,1.25795,1.46257,1.67374,0.16873,0.225,0.12532,0.02618,2.71371,3.22958,3.77026,0.00160099,0.00160099,0.00160099
42,39.5656,1.21668,1.33606,1.65489,0.3355,0.46282,0.26271,0.05137,3.11853,2.4326,4.08751,0.00159934,0.00159934,0.00159934
43,40.4218,1.16528,1.41673,1.65268,0.21979,0.4,0.16348,0.06177,3.00755,20.0337,5.38535,0.00159769,0.00159769,0.00159769
44,41.2743,1.26869,1.3916,1.69428,0.53998,0.15,0.04722,0.01037,3.36187,4.39521,5.33179,0.00159604,0.00159604,0.00159604
45,42.1334,1.19547,1.31558,1.63177,0.28841,0.30642,0.24121,0.06266,2.56069,2.80845,4.0789,0.00159439,0.00159439,0.00159439
46,42.9993,1.21159,1.24531,1.60273,0.17478,0.525,0.19547,0.03828,2.49237,8.42865,4.06319,0.00159274,0.00159274,0.00159274
47,44.1,1.16554,1.28944,1.5644,0.56236,0.45,0.41788,0.12873,2.3289,2.48478,3.46336,0.00159108,0.00159108,0.00159108
48,44.982,1.2114,1.31214,1.64039,0.53324,0.25,0.27817,0.0616,2.73504,2.51759,3.68445,0.00158943,0.00158943,0.00158943
49,45.8462,1.18034,1.27181,1.60953,0.7864,0.48899,0.59857,0.19097,2.33177,1.84835,3.18888,0.00158778,0.00158778,0.00158778
